batch_size,layers,dropout_rate,n_filters,filter_size,fc_units,epoch,train_time,test_loss,accuracy
200,3,0.75,16,5,50,15,0 days 00:11:44.610151000,0.043342928117513654,0.987375
200,3,0.75,16,5,100,5,0 days 00:01:55.285595000,0.12573626219034195,0.9612
200,3,0.75,16,5,100,10,0 days 00:05:51.082520000,0.057727874094247816,0.9819
200,3,0.75,16,5,100,15,0 days 00:11:44.786172000,0.039108544284105304,0.9881
200,4,0.2,10,5,50,5,0 days 00:01:55.847862000,0.2228483305454254,0.9331
200,4,0.2,10,5,50,10,0 days 00:05:51.804560000,0.07064132151603698,0.977725
200,4,0.2,10,5,50,15,0 days 00:11:47.362136000,0.04314301634430885,0.986025
200,4,0.2,10,5,100,5,0 days 00:01:54.683809000,0.2580932674407959,0.921925
200,4,0.2,10,5,100,10,0 days 00:05:49.286785000,0.06684791992902755,0.978925
200,4,0.2,10,5,100,15,0 days 00:11:43.493578000,0.04231900509595871,0.9867
200,4,0.2,16,5,50,5,0 days 00:01:56.295680000,0.16725868310928343,0.949375
200,4,0.2,16,5,50,10,0 days 00:05:54.893053000,0.05935672597885132,0.981025
200,4,0.2,16,5,50,15,0 days 00:11:51.684514000,0.037518708938360214,0.9881
200,4,0.2,16,5,100,5,0 days 00:01:55.832962000,0.17880502300262452,0.945
200,4,0.2,16,5,100,10,0 days 00:05:53.471264000,0.06179004901051521,0.980375
200,4,0.2,16,5,100,15,0 days 00:11:50.552821000,0.03685459371805191,0.988225
200,4,0.5,10,5,50,5,0 days 00:01:54.638230000,0.2329068687438965,0.927725
200,4,0.5,10,5,50,10,0 days 00:05:50.249889000,0.0718734369814396,0.977325
200,4,0.5,10,5,50,15,0 days 00:11:45.857632000,0.046348910570144654,0.9857
200,4,0.5,10,5,100,5,0 days 00:01:55.572399000,0.23290163197517394,0.93075
200,4,0.5,10,5,100,10,0 days 00:05:55.071019000,0.06994277165532112,0.977875
200,4,0.5,10,5,100,15,0 days 00:11:48.610702000,0.04551672208309174,0.985775
200,4,0.5,16,5,50,5,0 days 00:01:55.293310000,0.19547362604141236,0.938
200,4,0.5,16,5,50,10,0 days 00:05:53.696777000,0.07075140852332115,0.9776
200,4,0.5,16,5,50,15,0 days 00:11:49.241088000,0.042963250160217285,0.986625
200,4,0.5,16,5,100,5,0 days 00:01:56.259245000,0.16475610308647157,0.9493
200,4,0.5,16,5,100,10,0 days 00:05:54.609682000,0.06004335829615593,0.9808
200,4,0.5,16,5,100,15,0 days 00:11:53.480713000,0.037940263187885286,0.987775
200,4,0.75,10,5,50,5,0 days 00:01:55.210035000,0.5509677658081055,0.8734
